歐洲西部-北大西洋-城鎮,,,
▌zh,▌jp,▌en,▌zh2
希洪,ヒホン,Gijón,
里斯本,リスボン,Lisboa,
法魯,ファロ,Faro,
塞維爾,セビリア,Sevilla,塞維利亞
馬拉加,マラガ,Málaga,
休達,セウタ,Ceuta,
卡薩布蘭卡,カサブランカ,Casa Blanca,達爾貝達
阿爾金,アルギン,Arguin,
馬德拉,マディラ,Madeira,
拉斯帕爾馬斯,ラスパルマス,Las Palmas,
亞速爾,アゾレス,Azores,
奧波多,オポルト,Porto,波爾圖
歐洲西部-西地中海-城鎮,,,
▌zh,▌jp,▌en,▌zh2
瓦倫西亞,バレンシア,Valencia,
巴塞隆納,バルセロナ,Barcelona,
帕爾馬,パルマ,Palma,
蒙彼利埃,モンペリエ,Montpellier,
馬賽,マルセイユ,Marseille,
熱那亞,ジェノヴァ,Genova,
比薩,ピサ,Pisa,
卡爾維,カルヴィ,Calvi,
薩沙里,サッサリ,Sassari,薩斯沙利
卡利亞里,カリアリ,Cagliari,卡拉里
阿爾及爾,アルジェ,Algiers,
突尼斯,チュニス,Tunisia,突尼西亞
的黎波里,トリポリ,Tripoli,
歐洲西部-非城鎮,,,
▌zh,▌jp,▌en,▌zh2
摩洛哥西岸,モロッコ西岸,,
非洲西北岸,アフリカ北西岸,,
非洲北岸,アフリカ北岸,,
比斯開灣南岸,ビスケー湾南岸,,
歐洲北部-北海-城鎮,,,
▌zh,▌jp,▌en,▌zh2
聖彼得堡,サンクトペテルブルク,Saint Petersburg,
科科拉,コッコラ,Kokkola,
斯德哥爾摩,ストックホルム,Stockholm,
里加,リガ,Rīga,
維斯比,ヴィスビー,Visby,
奧斯陸,オスロ,Oslo,
哥本哈根,コペンハーゲン,Copenhagen,
卑爾根,ベルゲン,Bergen,
但澤,ダンツィヒ,Danzig,
盧貝克,リューベック,Lübeck,呂貝克
漢堡,ハンブルク,Hamburg,
不來梅,ブレーメン,Bremen,不萊梅
格羅寧根,フローニンゲン,Groningen,
阿姆斯特丹,アムステルダム,Amsterdam,
海爾德,ヘルデル,Helder,登海爾德
安特衛普,アントワープ,Antwerp,
愛丁堡,エディンバラ,Edinburgh,
倫敦,ロンドン,London,
多佛,ドーバー,Dover,多佛爾
普利茅斯,プリマス,Plymouth,
都柏林,ダブリン,Dublin,
加來,カレー,Calais,加萊
南特,ナント,Nantes,
波爾多,ボルドー,Bordeaux,
歐洲北部-非城鎮,,,
▌zh,▌jp,▌en,▌zh2
南特南部,ナント南,,
法蘭西西北岸,フランス北西岸,,
加來南部,カレー南,,
大不列顛島南岸,ブリテン島南岸,,
大不列顛島東岸,ブリテン島東岸,,
大不列顛島北岸,ブリテン島北,,
都柏林北部,ダブリン北,,
盧貝克東南岸,リューベック南東,,
波羅的海西南岸,バルト海南西,,
波羅的海東南岸,バルト海南東,,
波羅的海北岸,バルト海北,,
波斯尼亞灣西岸,ボスニア湾西岸,Gulf of Bothnia,波的尼亞灣
斯堪地那維亞西岸,スカンジナビア西岸,,
奧斯陸北岸,オスロ北,,
歐洲東部-城鎮,,,
▌zh,▌jp,▌en,▌zh2
拿坡里,ナポリ,Naples,那不勒斯
錫拉庫薩,シラクサ,Siracusa,"叙拉古,希拉庫莎"
安科納,アンコナ,Ancona,
